   -2.7586   -2.0756   -3.0710
    3.2397    5.5912    1.3626
   -1.8227   -2.1033   -4.9050
   -1.4609   -1.4783   -4.3114
   -3.8786   -1.6831    2.2297
    5.7493    7.3414    3.3644
    1.4707    5.7943   -0.3369
    5.2781    5.9146    3.2316
   -5.4086   -1.7438    1.2754
    4.7430    6.1297    2.6695
    3.9578    5.7187    2.0395
    4.4635    6.5597    2.3315
   -4.1724   -3.2451    1.5986
   -1.3203   -0.2736   -3.4939
   -2.9947   -0.7845    2.8299
    2.8136    5.8988    0.9327
   -1.9592   -1.6930   -2.9332
    4.9091    5.5954    2.9460
   -1.6801   -3.7006   -3.2091
   -4.2059   -1.6406    2.0715
    4.6734    6.9130    2.4141
    4.3395    5.7108    2.3792
    5.4922    6.9723    3.1978
    2.7642    6.5017    0.7296
    4.6365    6.1889    2.5866
   -2.3509   -3.4191   -3.2721
   -2.8582   -0.5770   -3.1766
   -0.9835   -2.6591   -3.8940
   -5.3460   -3.8673    0.8095
    3.4472    5.9139    1.4952
   -4.2720   -2.1567   -5.1979
    1.7876    5.1567    0.1260
   -0.7244   -3.6736   -4.2799
   -4.3425   -2.4981    1.6185
   -2.7222   -3.0192   -4.5791
   -0.7579   -1.7301   -3.7165
   -1.7232   -1.6770   -4.9360
   -3.9349   -1.1272   -5.0121
    3.9362    5.9245    1.9451
    4.3572    5.4154    2.4395
    3.0810    5.4259    1.2394
   -2.7354    0.4581    3.4084
    3.2920    5.7806    1.3748
   -5.3640   -3.9808    0.8691
    4.4267    5.8122    2.4252
   -3.8161    0.0493    2.6260
   -4.6749   -3.1561    1.4103
    3.3416    6.2637    1.3243
   -2.2370    0.2967   -5.4042
    4.2919    5.9185    2.3224
   -4.0985   -1.0961    2.2453
   -2.7153   -1.5346   -5.5224
   -4.1465   -2.0450    1.9670
   -3.5452   -2.0493    2.2465
   -4.2445   -2.2082    1.9367
   -1.3669    0.0224   -4.4133
   -4.2761   -2.1965    1.8053
   -4.9803   -4.2430    0.8845
   -1.7509   -1.7390   -4.7915
   -4.0216   -2.4748    1.8305
   -2.4674   -3.1106   -4.5225
   -3.3188    0.3926    2.9860
    4.8651    6.0486    2.8241
   -3.3559   -0.4482    2.6852
    4.5368    6.6566    2.3981
    4.1661    5.9025    2.1469
   -1.5301   -1.6486   -5.1610
   -3.9245   -1.9768    2.0525
   -3.8313   -2.1309   -5.5650
    3.8375    5.8272    1.8601
   -3.2893   -1.0098    2.6694
   -2.6443   -0.4023    3.1113
    4.5166    6.0695    2.4662
    4.5100    5.8688    2.5153
   -4.2093   -2.2674    1.7445
   -3.7915   -1.7963    2.2205
   -2.4823   -2.2592   -3.7874
   -3.1233   -1.5527    2.5562
   -4.1855   -1.9217    1.9075
   -4.3786   -3.3284    1.4153
   -1.5991   -1.4720   -6.5126
    2.1260    5.3907    0.3573
   -3.8110   -2.4894   -3.6986
   -1.7465   -1.2120   -4.5933
   -4.3679   -2.5103    1.8071
   -1.7249   -2.9267   -4.7218
    3.0236    5.5490    1.2006
   -1.6618   -2.5309   -4.7574
